sequence,v115@ShA8EeC8AeC8AeE8JeZEJvhFflB0gBSnBTjBmmBFrB,v115@ShA8EeC8AeC8AeE8JeZEJvhFWlB3hBcnBTjBilBFrB,v115@ShA8EeC8AeC8AeE8JeZEJvhFflBumBcnBTjBarBlqB,v115@ShA8EeC8AeC8AeE8Je3BJvhFcnBTjBxkBOpBilBFrB
JSIOLZT,O,X,O,X
JSIOZTL,X,O,O,X
JSIOZLT,O,O,O,X
JSLTIZO,O,X,X,X
JSLTIOZ,O,X,X,X
JSLTZIO,O,X,X,X
JSLTZOI,O,X,X,X
JSLTOIZ,O,X,X,X
JSLTOZI,O,X,X,X
JSLITZO,O,X,X,X
JSLITOZ,O,X,X,X
JSLIZTO,X,X,O,X
JSLIZOT,O,X,O,X
JSLIOTZ,O,X,X,X
JSLIOZT,O,X,O,X
JSLZTIO,X,X,O,X
JSLZTOI,X,X,O,X
JSLZITO,X,X,O,X
JSLZIOT,O,X,O,X
JSLZOTI,X,X,O,X
JSLZOIT,O,X,O,X
JSLOTIZ,O,X,X,X
JSLOTZI,O,X,X,X
JSLOITZ,O,X,X,X
JSLOIZT,O,X,O,X
JSLOZTI,X,X,O,X
JSLOZIT,O,X,O,X
JSZTILO,X,O,O,X
JSZTIOL,X,O,O,X
JSZTLIO,X,O,O,X
JSZTLOI,X,O,O,X
JSZTOIL,X,O,O,X
JSZTOLI,X,O,O,X
JSZITLO,X,O,O,X
JSZITOL,X,O,O,X
JSZILTO,X,X,O,X
JSZILOT,O,O,O,X
JSZIOTL,X,O,O,X
JSZIOLT,O,O,O,X
JSZLTIO,X,X,O,X
JSZLTOI,X,X,O,X
JSZLITO,X,X,O,X
JSZLIOT,O,O,O,X
JSZLOTI,X,X,O,X
JSZLOIT,O,O,O,X
JSZOTIL,X,O,O,X
JSZOTLI,X,O,O,X
JSZOITL,X,O,O,X
JSZOILT,O,O,O,X
JSZOLTI,X,X,O,X
JSZOLIT,O,O,O,X
JSOTILZ,O,X,X,X
JSOTIZL,O,O,X,X
JSOTLIZ,O,X,X,X
JSOTLZI,O,X,X,X
JSOTZIL,O,O,X,X
JSOTZLI,O,O,X,X
JSOITLZ,O,X,X,X
JSOITZL,O,O,X,X
JSOILTZ,O,X,X,X
JSOILZT,O,X,O,X
JSOIZTL,X,O,O,X
JSOIZLT,O,O,O,X
JSOLTIZ,O,X,X,X
JSOLTZI,O,X,X,X
JSOLITZ,O,X,X,X
JSOLIZT,O,X,O,X
JSOLZTI,X,X,O,X
JSOLZIT,O,X,O,X
JSOZTIL,X,O,O,X
JSOZTLI,X,O,O,X
JSOZITL,X,O,O,X
JSOZILT,O,O,O,X
JSOZLTI,X,X,O,X
JSOZLIT,O,O,O,X
JZTILSO,X,O,O,X
JZTILOS,X,O,O,X
JZTISLO,X,O,O,X
JZTISOL,X,O,O,O
JZTIOLS,X,O,O,X
JZTIOSL,X,O,O,O
JZTLISO,X,O,O,X
JZTLIOS,X,O,O,X
JZTLSIO,X,O,O,X
JZTLSOI,X,O,O,X
JZTLOIS,X,O,O,X
JZTLOSI,X,O,O,X
JZTSILO,X,O,O,X
JZTSIOL,X,O,O,O
JZTSLIO,X,O,O,X
JZTSLOI,X,O,O,X
JZTSOIL,X,O,O,O
JZTSOLI,X,O,O,X
JZTOILS,X,O,O,X
JZTOISL,X,O,O,O
JZTOLIS,X,O,O,X
JZTOLSI,X,O,O,X
JZTOSIL,X,O,O,O
JZTOSLI,X,O,O,X
JZITLSO,X,O,O,X
JZITLOS,X,O,O,X
JZITSLO,X,O,O,X
JZITSOL,X,O,O,O
JZITOLS,X,O,O,X
JZITOSL,X,O,O,O
JZILTSO,X,O,O,X
JZILTOS,X,O,O,X
JZILSTO,X,X,O,X
JZILSOT,X,O,O,X
JZILOTS,X,O,O,X
JZILOST,X,O,O,X
JZISTLO,X,O,O,X
JZISTOL,X,O,O,X
JZISLTO,X,X,O,X
JZISLOT,X,O,O,X
JZISOTL,X,O,O,O
JZISOLT,X,O,O,O
JZIOTLS,X,O,O,X
JZIOTSL,X,O,O,O
JZIOLTS,X,O,O,X
JZIOLST,X,O,O,X
JZIOSTL,X,O,O,O
JZIOSLT,X,O,O,O
JZLTISO,X,O,O,X
JZLTIOS,X,O,O,X
JZLTSIO,X,O,O,X
JZLTSOI,X,O,O,X
JZLTOIS,X,O,O,X
JZLTOSI,X,O,O,X
JZLITSO,X,O,O,X
JZLITOS,X,O,O,X
JZLISTO,X,X,O,X
JZLISOT,X,O,O,X
JZLIOTS,X,O,O,X
JZLIOST,X,O,O,X
JZLSTIO,X,X,O,X
JZLSTOI,X,X,O,X
JZLSITO,X,X,O,X
JZLSIOT,X,O,O,X
JZLSOTI,X,X,O,X
JZLSOIT,X,O,O,X
JZLOTIS,X,O,O,X
JZLOTSI,X,O,O,X
JZLOITS,X,O,O,X
JZLOIST,X,O,O,X
JZLOSTI,X,X,O,X
JZLOSIT,X,O,O,X
JZSTILO,X,O,O,X
JZSTIOL,X,O,O,X
JZSTLIO,X,O,O,X
JZSTLOI,X,O,O,X
JZSTOIL,X,O,O,X
JZSTOLI,X,O,O,X
JZSITLO,X,O,O,X
JZSITOL,X,O,O,X
JZSILTO,X,X,O,X
JZSILOT,X,O,O,X
JZSIOTL,X,O,O,O
JZSIOLT,X,O,O,O
JZSLTIO,X,X,O,X
JZSLTOI,X,X,O,X
JZSLITO,X,X,O,X
JZSLIOT,X,O,O,X
JZSLOTI,X,X,O,X
JZSLOIT,X,O,O,X
JZSOTIL,X,O,O,X
JZSOTLI,X,O,O,X
JZSOITL,X,O,O,O
JZSOILT,X,O,O,O
JZSOLTI,X,X,O,X
JZSOLIT,X,O,O,X
JZOTILS,X,O,O,X
JZOTISL,X,O,O,O
JZOTLIS,X,O,O,X
JZOTLSI,X,O,O,X
JZOTSIL,X,O,O,O
JZOTSLI,X,O,O,X
JZOITLS,X,O,O,X
JZOITSL,X,O,O,O
JZOILTS,X,O,O,X
JZOILST,X,O,O,X
JZOISTL,X,O,O,O
JZOISLT,X,O,O,O
JZOLTIS,X,O,O,X
JZOLTSI,X,O,O,X
JZOLITS,X,O,O,X
JZOLIST,X,O,O,X
JZOLSTI,X,X,O,X
JZOLSIT,X,O,O,X
JZOSTIL,X,O,O,X
JZOSTLI,X,O,O,X
JZOSITL,X,O,O,O
JZOSILT,X,O,O,O
JZOSLTI,X,X,O,X
JZOSLIT,X,O,O,X
JOTILSZ,O,X,X,X
JOTILZS,X,O,X,X
JOTISLZ,O,X,X,X
JOTISZL,O,O,X,X
JOTIZLS,X,O,X,X
JOTIZSL,X,O,X,O
JOTLISZ,O,X,X,X
JOTLIZS,X,O,X,X
JOTLSIZ,O,X,X,X
JOTLSZI,O,X,X,X
JOTLZIS,X,O,X,X
JOTLZSI,X,O,X,X
JOTSILZ,O,X,X,X
JOTSIZL,O,O,X,X
JOTSLIZ,O,X,X,X
JOTSLZI,O,X,X,X
JOTSZIL,O,O,X,X
JOTSZLI,O,O,X,X
JOTZILS,X,O,X,X
JOTZISL,X,O,X,O
JOTZLIS,X,O,X,X
JOTZLSI,X,O,X,X
JOTZSIL,X,O,X,O
JOTZSLI,X,O,X,X
JOITLSZ,O,X,X,X
JOITLZS,X,O,X,X
JOITSLZ,O,X,X,X
JOITSZL,O,O,X,X
JOITZLS,X,O,X,X
JOITZSL,X,O,X,O
JOILTSZ,O,X,X,X
JOILTZS,X,O,X,X
JOILSTZ,O,X,X,X
JOILSZT,O,X,O,X
JOILZTS,X,O,O,X
JOILZST,X,O,O,X
JOISTLZ,O,X,X,X
JOISTZL,O,O,X,X
JOISLTZ,O,X,X,X
JOISLZT,O,X,O,X
JOISZTL,X,O,O,X
JOISZLT,O,O,O,X
JOIZTLS,X,O,O,X
JOIZTSL,X,O,O,O
JOIZLTS,X,O,O,X
JOIZLST,X,O,O,X
JOIZSTL,X,O,O,O
JOIZSLT,X,O,O,O
JOLTISZ,O,X,X,X
JOLTIZS,X,O,X,X
JOLTSIZ,O,X,X,X
JOLTSZI,O,X,X,X
JOLTZIS,X,O,X,X
JOLTZSI,X,O,X,X
JOLITSZ,O,X,X,X
JOLITZS,X,O,X,X
JOLISTZ,O,X,X,X
JOLISZT,O,X,O,X
JOLIZTS,X,O,O,X
JOLIZST,X,O,O,X
JOLSTIZ,O,X,X,X
JOLSTZI,O,X,X,X
JOLSITZ,O,X,X,X
JOLSIZT,O,X,O,X
JOLSZTI,X,X,O,X
JOLSZIT,O,X,O,X
JOLZTIS,X,O,O,X
JOLZTSI,X,O,O,X
JOLZITS,X,O,O,X
JOLZIST,X,O,O,X
JOLZSTI,X,X,O,X
JOLZSIT,X,O,O,X
JOSTILZ,O,X,X,X
JOSTIZL,O,O,X,X
JOSTLIZ,O,X,X,X
JOSTLZI,O,X,X,X
JOSTZIL,O,O,X,X
JOSTZLI,O,O,X,X
JOSITLZ,O,X,X,X
JOSITZL,O,O,X,X
JOSILTZ,O,X,X,X
JOSILZT,O,X,O,X
JOSIZTL,X,O,O,X
JOSIZLT,O,O,O,X
JOSLTIZ,O,X,X,X
JOSLTZI,O,X,X,X
JOSLITZ,O,X,X,X
JOSLIZT,O,X,O,X
JOSLZTI,X,X,O,X
JOSLZIT,O,X,O,X
JOSZTIL,X,O,O,X
JOSZTLI,X,O,O,X
JOSZITL,X,O,O,X
JOSZILT,O,O,O,X
JOSZLTI,X,X,O,X
JOSZLIT,O,O,O,X
JOZTILS,X,O,O,X
JOZTISL,X,O,O,O
JOZTLIS,X,O,O,X
JOZTLSI,X,O,O,X
JOZTSIL,X,O,O,O
JOZTSLI,X,O,O,X
JOZITLS,X,O,O,X
JOZITSL,X,O,O,O
JOZILTS,X,O,O,X
JOZILST,X,O,O,X
JOZISTL,X,O,O,O
JOZISLT,X,O,O,O
JOZLTIS,X,O,O,X
JOZLTSI,X,O,O,X
JOZLITS,X,O,O,X
JOZLIST,X,O,O,X
JOZLSTI,X,X,O,X
JOZLSIT,X,O,O,X
JOZSTIL,X,O,O,X
JOZSTLI,X,O,O,X
JOZSITL,X,O,O,O
JOZSILT,X,O,O,O
JOZSLTI,X,X,O,X
JOZSLIT,X,O,O,X
STILJZO,O,X,X,X
STILJOZ,O,X,X,X
STILZJO,O,X,O,X
STILZOJ,O,X,O,X
STILOJZ,O,X,X,X
STILOZJ,O,X,O,X
STIJLZO,O,X,X,X
STIJLOZ,O,X,X,X
STIJZLO,O,O,X,X
STIJZOL,O,O,X,X
STIJOLZ,O,X,X,X
STIJOZL,O,O,X,X
STIZLJO,O,O,O,X
STIZLOJ,O,O,O,O
STIZJLO,O,O,O,X
STIZJOL,O,O,O,O
STIZOLJ,O,O,O,O
STIZOJL,O,O,O,O
STIOLJZ,O,X,X,X
STIOLZJ,O,X,O,X
STIOJLZ,O,X,X,X
STIOJZL,O,O,X,X
STIOZLJ,O,O,O,O
STIOZJL,O,O,O,O
STLIJZO,O,X,X,X
STLIJOZ,O,X,X,X
STLIZJO,O,X,O,X
STLIZOJ,O,X,O,X
STLIOJZ,O,X,X,X
STLIOZJ,O,X,O,X
STLJIZO,O,X,X,X
STLJIOZ,O,X,X,X
STLJZIO,O,X,X,X
STLJZOI,O,X,X,X
STLJOIZ,O,X,X,X
STLJOZI,O,X,X,X
STLZIJO,O,X,O,X
STLZIOJ,O,X,O,X
STLZJIO,O,X,O,X
STLZJOI,O,X,O,X
STLZOIJ,O,X,O,X
STLZOJI,O,X,O,X
STLOIJZ,O,X,X,X
STLOIZJ,O,X,O,X
STLOJIZ,O,X,X,X
STLOJZI,O,X,X,X
STLOZIJ,O,X,O,X
STLOZJI,O,X,O,X
STJILZO,O,X,X,X
STJILOZ,O,X,X,X
STJIZLO,O,O,X,X
STJIZOL,O,O,X,X
STJIOLZ,O,X,X,X
STJIOZL,O,O,X,X
STJLIZO,O,X,X,X
STJLIOZ,O,X,X,X
STJLZIO,O,X,X,X
STJLZOI,O,X,X,X
STJLOIZ,O,X,X,X
STJLOZI,O,X,X,X
STJZILO,O,O,X,X
STJZIOL,O,O,X,X
STJZLIO,O,O,X,X
STJZLOI,O,O,X,X
STJZOIL,O,O,X,X
STJZOLI,O,O,X,X
STJOILZ,O,X,X,X
STJOIZL,O,O,X,X
STJOLIZ,O,X,X,X
STJOLZI,O,X,X,X
STJOZIL,O,O,X,X
STJOZLI,O,O,X,X
STZILJO,O,O,O,X
STZILOJ,O,O,O,O
STZIJLO,O,O,O,X
STZIJOL,O,O,O,O
STZIOLJ,O,O,O,O
STZIOJL,O,O,O,O
STZLIJO,O,O,O,X
STZLIOJ,O,O,O,O
STZLJIO,O,O,O,X
STZLJOI,O,O,O,X
STZLOIJ,O,O,O,O
STZLOJI,O,O,O,X
STZJILO,O,O,O,X
STZJIOL,O,O,O,O
STZJLIO,O,O,O,X
STZJLOI,O,O,O,X
STZJOIL,O,O,O,O
STZJOLI,O,O,O,X
STZOILJ,O,O,O,O
STZOIJL,O,O,O,O
STZOLIJ,O,O,O,O
STZOLJI,O,O,O,X
STZOJIL,O,O,O,O
STZOJLI,O,O,O,X
STOILJZ,O,X,X,X
STOILZJ,O,X,O,X
STOIJLZ,O,X,X,X
STOIJZL,O,O,X,X
STOIZLJ,O,O,O,O
STOIZJL,O,O,O,O
STOLIJZ,O,X,X,X
STOLIZJ,O,X,O,X
STOLJIZ,O,X,X,X
STOLJZI,O,X,X,X
STOLZIJ,O,X,O,X
STOLZJI,O,X,O,X
STOJILZ,O,X,X,X
STOJIZL,O,O,X,X
STOJLIZ,O,X,X,X
STOJLZI,O,X,X,X
STOJZIL,O,O,X,X
STOJZLI,O,O,X,X
STOZILJ,O,O,O,O
STOZIJL,O,O,O,O
STOZLIJ,O,O,O,O
STOZLJI,O,O,O,X
STOZJIL,O,O,O,O
STOZJLI,O,O,O,X
SITLJZO,O,X,X,X
SITLJOZ,O,X,X,X
SITLZJO,O,X,O,X
SITLZOJ,O,X,O,X
SITLOJZ,O,X,X,X
SITLOZJ,O,X,O,X
SITJLZO,O,X,X,X
SITJLOZ,O,X,X,X
SITJZLO,O,O,X,X
SITJZOL,O,O,X,X
SITJOLZ,O,X,X,X
SITJOZL,O,O,X,X
SITZLJO,O,O,O,X
SITZLOJ,O,O,O,O
SITZJLO,O,O,O,X
SITZJOL,O,O,O,O
SITZOLJ,O,O,O,O
SITZOJL,O,O,O,O
SITOLJZ,O,X,X,X
SITOLZJ,O,X,O,X
SITOJLZ,O,X,X,X
SITOJZL,O,O,X,X
SITOZLJ,O,O,O,O
SITOZJL,O,O,O,O
SILTJZO,O,X,X,X
SILTJOZ,O,X,X,X
SILTZJO,O,X,O,X
SILTZOJ,O,X,O,X
SILTOJZ,O,X,X,X
SILTOZJ,O,X,O,X
SILJTZO,O,X,X,X
SILJTOZ,O,X,X,X
SILJZTO,X,X,O,X
SILJZOT,O,X,O,X
SILJOTZ,O,X,X,X
SILJOZT,O,X,O,X
SILZTJO,O,X,O,X
SILZTOJ,O,X,O,X
SILZJTO,X,X,O,X
SILZJOT,O,X,O,X
SILZOTJ,O,X,O,X
SILZOJT,O,X,O,X
SILOTJZ,O,X,X,X
SILOTZJ,O,X,O,X
SILOJTZ,O,X,X,X
SILOJZT,O,X,O,X
SILOZTJ,O,X,O,X
SILOZJT,O,X,O,X
SIJTLZO,O,X,X,X
SIJTLOZ,O,X,X,X
SIJTZLO,O,O,X,X
SIJTZOL,O,O,X,X
SIJTOLZ,O,X,X,X
SIJTOZL,O,O,X,X
SIJLTZO,O,X,X,X
SIJLTOZ,O,X,X,X
SIJLZTO,X,X,O,X
SIJLZOT,O,X,O,X
SIJLOTZ,O,X,X,X
SIJLOZT,O,X,O,X
SIJZTLO,X,O,O,X
SIJZTOL,X,O,O,X
SIJZLTO,X,X,O,X
SIJZLOT,O,O,O,X
SIJZOTL,X,O,O,X
SIJZOLT,O,O,O,X
SIJOTLZ,O,X,X,X
SIJOTZL,O,O,X,X
SIJOLTZ,O,X,X,X
SIJOLZT,O,X,O,X
SIJOZTL,X,O,O,X
SIJOZLT,O,O,O,X
SIZTLJO,O,O,O,X
SIZTLOJ,O,O,O,O
SIZTJLO,O,O,O,X
SIZTJOL,O,O,O,O
SIZTOLJ,O,O,O,O
SIZTOJL,O,O,O,O
SIZLTJO,O,X,O,X
SIZLTOJ,O,X,O,X
SIZLJTO,X,X,O,X
SIZLJOT,O,O,O,X
SIZLOTJ,O,X,O,O
SIZLOJT,O,O,O,O
SIZJTLO,X,O,O,X
SIZJTOL,X,O,O,X
SIZJLTO,X,X,O,X
SIZJLOT,O,O,O,X
SIZJOTL,X,O,O,O
SIZJOLT,O,O,O,O
SIZOTLJ,O,O,O,O
SIZOTJL,O,O,O,O
SIZOLTJ,O,X,O,O
SIZOLJT,O,O,O,O
SIZOJTL,X,O,O,O
SIZOJLT,O,O,O,O
SIOTLJZ,O,X,X,X
SIOTLZJ,O,X,O,X
SIOTJLZ,O,X,X,X
SIOTJZL,O,O,X,X
SIOTZLJ,O,O,O,O
SIOTZJL,O,O,O,O
SIOLTJZ,O,X,X,X
SIOLTZJ,O,X,O,X
SIOLJTZ,O,X,X,X
SIOLJZT,O,X,O,X
SIOLZTJ,O,X,O,X
SIOLZJT,O,X,O,X
SIOJTLZ,O,X,X,X
SIOJTZL,O,O,X,X
SIOJLTZ,O,X,X,X
SIOJLZT,O,X,O,X
SIOJZTL,X,O,O,X
SIOJZLT,O,O,O,X
SIOZTLJ,O,O,O,O
SIOZTJL,O,O,O,O
SIOZLTJ,O,X,O,O
SIOZLJT,O,O,O,O
SIOZJTL,X,O,O,O
SIOZJLT,O,O,O,O
SLTIJZO,O,X,X,X
SLTIJOZ,O,X,X,X
SLTIZJO,O,X,O,X
SLTIZOJ,O,X,O,X
SLTIOJZ,O,X,X,X
SLTIOZJ,O,X,O,X
SLTJIZO,O,X,X,X
SLTJIOZ,O,X,X,X
SLTJZIO,O,X,X,X
SLTJZOI,O,X,X,X
SLTJOIZ,O,X,X,X
SLTJOZI,O,X,X,X
SLTZIJO,O,X,O,X
SLTZIOJ,O,X,O,X
SLTZJIO,O,X,O,X
SLTZJOI,O,X,O,X
SLTZOIJ,O,X,O,X
SLTZOJI,O,X,O,X
SLTOIJZ,O,X,X,X
SLTOIZJ,O,X,O,X
SLTOJIZ,O,X,X,X
SLTOJZI,O,X,X,X
SLTOZIJ,O,X,O,X
SLTOZJI,O,X,O,X
SLITJZO,O,X,X,X
SLITJOZ,O,X,X,X
SLITZJO,O,X,O,X
SLITZOJ,O,X,O,X
SLITOJZ,O,X,X,X
SLITOZJ,O,X,O,X
SLIJTZO,O,X,X,X
SLIJTOZ,O,X,X,X
SLIJZTO,X,X,O,X
SLIJZOT,O,X,O,X
SLIJOTZ,O,X,X,X
SLIJOZT,O,X,O,X
SLIZTJO,O,X,O,X
SLIZTOJ,O,X,O,X
SLIZJTO,X,X,O,X
SLIZJOT,O,X,O,X
SLIZOTJ,O,X,O,X
SLIZOJT,O,X,O,X
SLIOTJZ,O,X,X,X
SLIOTZJ,O,X,O,X
SLIOJTZ,O,X,X,X
SLIOJZT,O,X,O,X
SLIOZTJ,O,X,O,X
SLIOZJT,O,X,O,X
SLJTIZO,O,X,X,X
SLJTIOZ,O,X,X,X
SLJTZIO,O,X,X,X
SLJTZOI,O,X,X,X
SLJTOIZ,O,X,X,X
SLJTOZI,O,X,X,X
SLJITZO,O,X,X,X
SLJITOZ,O,X,X,X
SLJIZTO,X,X,O,X
SLJIZOT,O,X,O,X
SLJIOTZ,O,X,X,X
SLJIOZT,O,X,O,X
SLJZTIO,X,X,O,X
SLJZTOI,X,X,O,X
SLJZITO,X,X,O,X
SLJZIOT,O,X,O,X
SLJZOTI,X,X,O,X
SLJZOIT,O,X,O,X
SLJOTIZ,O,X,X,X
SLJOTZI,O,X,X,X
SLJOITZ,O,X,X,X
SLJOIZT,O,X,O,X
SLJOZTI,X,X,O,X
SLJOZIT,O,X,O,X
SLZTIJO,O,X,O,X
SLZTIOJ,O,X,O,X
SLZTJIO,O,X,O,X
SLZTJOI,O,X,O,X
SLZTOIJ,O,X,O,X
SLZTOJI,O,X,O,X
SLZITJO,O,X,O,X
SLZITOJ,O,X,O,X
SLZIJTO,X,X,O,X
SLZIJOT,O,X,O,X
SLZIOTJ,O,X,O,X
SLZIOJT,O,X,O,X
SLZJTIO,X,X,O,X
SLZJTOI,X,X,O,X
SLZJITO,X,X,O,X
SLZJIOT,O,X,O,X
SLZJOTI,X,X,O,X
SLZJOIT,O,X,O,X
SLZOTIJ,O,X,O,X
SLZOTJI,O,X,O,X
SLZOITJ,O,X,O,X
SLZOIJT,O,X,O,X
SLZOJTI,X,X,O,X
SLZOJIT,O,X,O,X
SLOTIJZ,O,X,X,X
SLOTIZJ,O,X,O,X
SLOTJIZ,O,X,X,X
SLOTJZI,O,X,X,X
SLOTZIJ,O,X,O,X
SLOTZJI,O,X,O,X
SLOITJZ,O,X,X,X
SLOITZJ,O,X,O,X
SLOIJTZ,O,X,X,X
SLOIJZT,O,X,O,X
SLOIZTJ,O,X,O,X
SLOIZJT,O,X,O,X
SLOJTIZ,O,X,X,X
SLOJTZI,O,X,X,X
SLOJITZ,O,X,X,X
SLOJIZT,O,X,O,X
SLOJZTI,X,X,O,X
SLOJZIT,O,X,O,X
SLOZTIJ,O,X,O,X
SLOZTJI,O,X,O,X
SLOZITJ,O,X,O,X
SLOZIJT,O,X,O,X
SLOZJTI,X,X,O,X
SLOZJIT,O,X,O,X
SJTILZO,O,X,X,X
SJTILOZ,O,X,X,X
SJTIZLO,O,O,X,X
SJTIZOL,O,O,X,X
SJTIOLZ,O,X,X,X
SJTIOZL,O,O,X,X
SJTLIZO,O,X,X,X
SJTLIOZ,O,X,X,X
SJTLZIO,O,X,X,X
SJTLZOI,O,X,X,X
SJTLOIZ,O,X,X,X
SJTLOZI,O,X,X,X
SJTZILO,O,O,X,X
SJTZIOL,O,O,X,X
SJTZLIO,O,O,X,X
SJTZLOI,O,O,X,X
SJTZOIL,O,O,X,X
SJTZOLI,O,O,X,X
SJTOILZ,O,X,X,X
SJTOIZL,O,O,X,X
SJTOLIZ,O,X,X,X
SJTOLZI,O,X,X,X
SJTOZIL,O,O,X,X
SJTOZLI,O,O,X,X
SJITLZO,O,X,X,X
SJITLOZ,O,X,X,X
SJITZLO,O,O,X,X
SJITZOL,O,O,X,X
SJITOLZ,O,X,X,X
SJITOZL,O,O,X,X
SJILTZO,O,X,X,X
SJILTOZ,O,X,X,X
SJILZTO,X,X,O,X
SJILZOT,O,X,O,X
SJILOTZ,O,X,X,X
SJILOZT,O,X,O,X
SJIZTLO,X,O,O,X
SJIZTOL,X,O,O,X
SJIZLTO,X,X,O,X
SJIZLOT,O,O,O,X
SJIZOTL,X,O,O,X
SJIZOLT,O,O,O,X
SJIOTLZ,O,X,X,X
SJIOTZL,O,O,X,X
SJIOLTZ,O,X,X,X
SJIOLZT,O,X,O,X
SJIOZTL,X,O,O,X
SJIOZLT,O,O,O,X
SJLTIZO,O,X,X,X
SJLTIOZ,O,X,X,X
SJLTZIO,O,X,X,X
SJLTZOI,O,X,X,X
SJLTOIZ,O,X,X,X
SJLTOZI,O,X,X,X
SJLITZO,O,X,X,X
SJLITOZ,O,X,X,X
SJLIZTO,X,X,O,X
SJLIZOT,O,X,O,X
SJLIOTZ,O,X,X,X
SJLIOZT,O,X,O,X
SJLZTIO,X,X,O,X
SJLZTOI,X,X,O,X
SJLZITO,X,X,O,X
SJLZIOT,O,X,O,X
SJLZOTI,X,X,O,X
SJLZOIT,O,X,O,X
SJLOTIZ,O,X,X,X
SJLOTZI,O,X,X,X
SJLOITZ,O,X,X,X
SJLOIZT,O,X,O,X
SJLOZTI,X,X,O,X
SJLOZIT,O,X,O,X
SJZTILO,X,O,O,X
SJZTIOL,X,O,O,X
SJZTLIO,X,O,O,X
SJZTLOI,X,O,O,X
SJZTOIL,X,O,O,X
SJZTOLI,X,O,O,X
SJZITLO,X,O,O,X
SJZITOL,X,O,O,X
SJZILTO,X,X,O,X
SJZILOT,O,O,O,X
SJZIOTL,X,O,O,X
SJZIOLT,O,O,O,X
SJZLTIO,X,X,O,X
SJZLTOI,X,X,O,X
SJZLITO,X,X,O,X
SJZLIOT,O,O,O,X
SJZLOTI,X,X,O,X
SJZLOIT,O,O,O,X
SJZOTIL,X,O,O,X
SJZOTLI,X,O,O,X
SJZOITL,X,O,O,X
SJZOILT,O,O,O,X
SJZOLTI,X,X,O,X
SJZOLIT,O,O,O,X
SJOTILZ,O,X,X,X
SJOTIZL,O,O,X,X
SJOTLIZ,O,X,X,X
SJOTLZI,O,X,X,X
SJOTZIL,O,O,X,X
SJOTZLI,O,O,X,X
SJOITLZ,O,X,X,X
SJOITZL,O,O,X,X
SJOILTZ,O,X,X,X
SJOILZT,O,X,O,X
SJOIZTL,X,O,O,X
SJOIZLT,O,O,O,X
SJOLTIZ,O,X,X,X
SJOLTZI,O,X,X,X
SJOLITZ,O,X,X,X
SJOLIZT,O,X,O,X
SJOLZTI,X,X,O,X
SJOLZIT,O,X,O,X
SJOZTIL,X,O,O,X
SJOZTLI,X,O,O,X
SJOZITL,X,O,O,X
SJOZILT,O,O,O,X
SJOZLTI,X,X,O,X
SJOZLIT,O,O,O,X
SZTILJO,O,O,O,X
SZTILOJ,O,O,O,O
SZTIJLO,O,O,O,X
SZTIJOL,O,O,O,O
SZTIOLJ,O,O,O,O
SZTIOJL,O,O,O,O
SZTLIJO,O,O,O,X
SZTLIOJ,O,O,O,O
SZTLJIO,O,O,O,X
SZTLJOI,O,O,O,X
SZTLOIJ,O,O,O,O
SZTLOJI,O,O,O,X
SZTJILO,O,O,O,X
SZTJIOL,O,O,O,O
SZTJLIO,O,O,O,X
SZTJLOI,O,O,O,X
SZTJOIL,O,O,O,O
SZTJOLI,O,O,O,X
SZTOILJ,O,O,O,O
SZTOIJL,O,O,O,O
SZTOLIJ,O,O,O,O
SZTOLJI,O,O,O,X
SZTOJIL,O,O,O,O
SZTOJLI,O,O,O,X
SZITLJO,O,O,O,X
SZITLOJ,O,O,O,O
SZITJLO,O,O,O,X
SZITJOL,O,O,O,O
SZITOLJ,O,O,O,O
SZITOJL,O,O,O,O
SZILTJO,O,X,O,X
SZILTOJ,O,X,O,X
SZILJTO,X,X,O,X
SZILJOT,O,O,O,X
SZILOTJ,O,X,O,O
SZILOJT,O,O,O,O
SZIJTLO,X,O,O,X
SZIJTOL,X,O,O,X
SZIJLTO,X,X,O,X
SZIJLOT,O,O,O,X
SZIJOTL,X,O,O,O
SZIJOLT,O,O,O,O
SZIOTLJ,O,O,O,O
SZIOTJL,O,O,O,O
SZIOLTJ,O,X,O,O
SZIOLJT,O,O,O,O
SZIOJTL,X,O,O,O
SZIOJLT,O,O,O,O
SZLTIJO,O,X,O,X
SZLTIOJ,O,X,O,X
SZLTJIO,O,X,O,X
SZLTJOI,O,X,O,X
SZLTOIJ,O,X,O,X
SZLTOJI,O,X,O,X
SZLITJO,O,X,O,X
SZLITOJ,O,X,O,X
SZLIJTO,X,X,O,X
SZLIJOT,O,O,O,X
SZLIOTJ,O,X,O,O
SZLIOJT,O,O,O,O
SZLJTIO,X,X,O,X
SZLJTOI,X,X,O,X
SZLJITO,X,X,O,X
SZLJIOT,O,O,O,X
SZLJOTI,X,X,O,X
SZLJOIT,O,O,O,X
SZLOTIJ,O,X,O,X
SZLOTJI,O,X,O,X
SZLOITJ,O,X,O,O
SZLOIJT,O,O,O,O
SZLOJTI,X,X,O,X
SZLOJIT,O,O,O,X
SZJTILO,X,O,O,X
SZJTIOL,X,O,O,X
SZJTLIO,X,O,O,X
SZJTLOI,X,O,O,X
SZJTOIL,X,O,O,X
SZJTOLI,X,O,O,X
SZJITLO,X,O,O,X
